Origin,Destination,Date,Sender's Name,Sender City,Sender State,Total Pieces,Actual Wt,Volumetric Wt,Chargeable Wt,Paperwork,Sender Date,Recipient Name,Recipient City,Receiver State,Value Added Services,Consignment No,Expiry Date,Booking Code,Receiver Name,Receive Date,Tariff,VAS Charges,Total Amount,Mode,Risk Surcharge,Mode of Payment,Nature of Consignment
Ludhiana,Bhubaneswar,17-06-2025,Nidhi Prabhu,Ludhiana,Punjab,3,11.58,13.91,13.91,Yes,17-06-2025,Unni Bera,Bhubaneswar,Odisha,COD,DTDC00041361,17-07-2025,BR795,Unni Bera,19-06-2025,1228.98,91.4,1320.38,Express,Carrier,Card,Non-Dox
Vijayawada,Patna,16-06-2025,Sani-Oza,Vijayawada,Andhra Pradesh,5,10.31,12.53,12.53,No,16-06-2025,Ayaan Bhatnagar,Patna,Bihar,COD,DTDC53277999,16-07-2025,BR297,Ayaan Bhatnagar,21-06-2025,547.59,95.68,643.27,Surface,Carrier,Cash,Dox
Meerut,Varanasi,04-07-2025,Ganga Bawa,Meerut,Uttar Pradesh,4,3.36,5.2,5.2,Yes,04-07-2025,Udarsh Tandon,Varanasi,Uttar Pradesh,COD,DTDC63990655,03-08-2025,BR977,Udarsh Tandon,08-07-2025,223.21,52.96,276.17,Surface,Carrier,Wallet,Dox
Chennai,Shimla,05-07-2025,Varsha Singhal,Chennai,Tamil Nadu,4,5.98,7.67,7.67,Yes,05-07-2025,Yashica Ghosh,Shimla,Himachal Pradesh,COD,DTDC22627282,04-08-2025,BR456,Yashica Ghosh,09-07-2025,340.6,138.22,478.82,Surface,Carrier,Card,Dox
Nagpur,Guwahati,12-06-2025,Rohan Parmar,Nagpur,Maharashtra,5,8.06,10.59,10.59,No,12-06-2025,Jeet Goel,Guwahati,Assam,COD,DTDC52443466,12-07-2025,BR110,Jeet Goel,17-06-2025,492.38,131.08,623.46,Surface,Carrier,Cash,Non-Dox
Chandigarh,Kochi,03-07-2025,"Pathak, Comar and Gill",Chandigarh,Chandigarh,1,3.76,4.65,4.65,Yes,03-07-2025,Ladli Deol,Kochi,Kerala,COD,DTDC31267994,02-08-2025,BR926,Ladli Deol,06-07-2025,225.21,89.78,314.99,Surface,Carrier,Card,Dox
Bhubaneswar,Varanasi,19-06-2025,"Patla, Sood and Mahajan",Bhubaneswar,Odisha,1,9.24,9.73,9.73,Yes,19-06-2025,Mahajan-Sethi,Varanasi,Uttar Pradesh,COD,DTDC85722391,19-07-2025,BR789,Mahajan-Sethi,24-06-2025,872.12,123.74,995.86,Express,Carrier,Cash,Non-Dox
Nashik,Mumbai,21-06-2025,Chakrika Kapoor,Nashik,Maharashtra,5,3.9,6.36,6.36,No,21-06-2025,Sandal PLC,Mumbai,Maharashtra,COD,DTDC61985424,21-07-2025,BR990,Sandal PLC,23-06-2025,299.28,25.26,324.54,Surface,Carrier,Cash,Non-Dox
Dehradun,Ludhiana,18-06-2025,Vyas-Suresh,Dehradun,Uttarakhand,2,7.16,8.67,8.67,Yes,18-06-2025,Ojasvi Palla,Ludhiana,Punjab,COD,DTDC13250482,18-07-2025,BR634,Ojasvi Palla,22-06-2025,614.58,112.04,726.62,Air Cargo,Carrier,Card,Non-Dox
Chandigarh,Vizag,05-07-2025,"Sastry, Sant and Mukhopadhyay",Chandigarh,Chandigarh,3,10.64,12.92,12.92,Yes,05-07-2025,Chameli Jaggi,Vizag,Andhra Pradesh,COD,DTDC46000125,04-08-2025,BR965,Chameli Jaggi,10-07-2025,768.97,68.37,837.34,Air Cargo,Carrier,Card,Dox
Raipur,Srinagar,03-07-2025,"Andra, Murthy and Om",Raipur,Chhattisgarh,2,4.3,6.47,6.47,Yes,03-07-2025,Abeer Mody,Srinagar,Jammu & Kashmir,COD,DTDC19858994,02-08-2025,BR870,Abeer Mody,06-07-2025,430.65,64.41,495.06,Air Cargo,Carrier,Cash,Non-Dox
Ludhiana,Varanasi,27-06-2025,Peri-Shere,Ludhiana,Punjab,5,6.54,8.43,8.43,Yes,27-06-2025,Jagrati Nagi,Varanasi,Uttar Pradesh,COD,DTDC41753873,27-07-2025,BR975,Jagrati Nagi,30-06-2025,413.4,126.2,539.6,Surface,Carrier,Card,Dox
Mumbai,Agra,13-06-2025,Prashad Group,Mumbai,Maharashtra,4,9.31,11.4,11.4,No,13-06-2025,Mitter-Malhotra,Agra,Uttar Pradesh,None,DTDC99374744,13-07-2025,BR719,Mitter-Malhotra,17-06-2025,684.12,0,684.12,Air Cargo,Carrier,Cash,Dox
Srinagar,Vizag,19-06-2025,Urvi Dave,Srinagar,Jammu & Kashmir,2,9.42,11.93,11.93,Yes,19-06-2025,Chatura Kaur,Vizag,Andhra Pradesh,COD,DTDC77444855,19-07-2025,BR184,Chatura Kaur,23-06-2025,750.76,30.25,781.01,Air Cargo,Carrier,Wallet,Non-Dox
Vizag,Bhopal,04-07-2025,Harrison Ramaswamy,Vizag,Andhra Pradesh,1,9.98,10.52,10.52,Yes,04-07-2025,Prisha Varkey,Bhopal,Madhya Pradesh,None,DTDC17081772,03-08-2025,BR703,Prisha Varkey,08-07-2025,471.34,0,471.34,Surface,Carrier,Cash,Non-Dox
Pune,Shimla,12-06-2025,Gill-Sachar,Pune,Maharashtra,1,1.95,2.99,2.99,No,12-06-2025,"Narasimhan, Bora and Balan",Shimla,Himachal Pradesh,None,DTDC03033683,12-07-2025,BR838,"Narasimhan, Bora and Balan",13-06-2025,123.4,0,123.4,Surface,Carrier,Cash,Dox
Lucknow,Thiruvananthapuram,22-06-2025,Alexander De,Lucknow,Uttar Pradesh,2,6.96,7.25,7.25,Yes,22-06-2025,Victor Keer,Thiruvananthapuram,Kerala,COD,DTDC55664166,22-07-2025,BR768,Victor Keer,23-06-2025,510.35,63.12,573.47,Air Cargo,Carrier,Card,Non-Dox
Hyderabad,Pune,07-06-2025,Nori PLC,Hyderabad,Telangana,4,5.94,7.48,7.48,Yes,07-06-2025,Mitter Group,Pune,Maharashtra,Insurance,DTDC66194123,07-07-2025,BR773,Mitter Group,11-06-2025,360.47,110.43,470.9,Surface,Carrier,Card,Dox
Agra,Delhi,08-06-2025,Abhiram Butala,Agra,Uttar Pradesh,3,8.57,11.11,11.11,No,08-06-2025,Maanas Boase,Delhi,Delhi,COD,DTDC61981209,08-07-2025,BR888,Maanas Boase,11-06-2025,783.48,38.2,821.68,Air Cargo,Carrier,Card,Dox
Kolkata,Hyderabad,07-06-2025,Jain Inc,Kolkata,West Bengal,3,2.56,5.28,5.28,Yes,07-06-2025,Simon Kala,Hyderabad,Telangana,COD,DTDC69002870,07-07-2025,BR082,Simon Kala,09-06-2025,245.81,28.14,273.95,Surface,Carrier,Cash,Non-Dox
Chennai,Shimla,03-07-2025,Bahadurjit Vala,Chennai,Tamil Nadu,5,6.13,7.47,7.47,Yes,03-07-2025,"Chauhan, Goswami and Jani",Shimla,Himachal Pradesh,None,DTDC53163499,02-08-2025,BR555,"Chauhan, Goswami and Jani",04-07-2025,438.46,0,438.46,Air Cargo,Carrier,Card,Dox
Meerut,Pune,07-06-2025,Mani Inc,Meerut,Uttar Pradesh,3,2.32,4.16,4.16,Yes,07-06-2025,"Gulati, Aggarwal and Dey",Pune,Maharashtra,COD,DTDC62274662,07-07-2025,BR549,"Gulati, Aggarwal and Dey",08-06-2025,193.69,34.51,228.2,Surface,Carrier,Cash,Dox
Amritsar,Kolkata,10-06-2025,Saran Ltd,Amritsar,Punjab,4,5.63,7.12,7.12,Yes,10-06-2025,Eta Khatri,Kolkata,West Bengal,Insurance,DTDC60649266,10-07-2025,BR754,Eta Khatri,12-06-2025,297.81,97.34,395.15,Surface,Carrier,Cash,Non-Dox
Indore,Nagpur,30-06-2025,"Ghosh, Das and Handa",Indore,Madhya Pradesh,4,5.4,6.09,6.09,Yes,30-06-2025,George Thaker,Nagpur,Maharashtra,COD,DTDC48523096,30-07-2025,BR776,George Thaker,03-07-2025,267.6,109.93,377.53,Surface,Carrier,Cash,Dox
Bhubaneswar,Vizag,27-06-2025,Kuruvilla PLC,Bhubaneswar,Odisha,2,6.19,6.51,6.51,No,27-06-2025,"Agrawal, Agarwal and Pandey",Vizag,Andhra Pradesh,None,DTDC65153682,27-07-2025,BR548,"Agrawal, Agarwal and Pandey",29-06-2025,306.3,0,306.3,Surface,Carrier,Cash,Non-Dox
Ranchi,Jaipur,02-07-2025,Lavanya Pathak,Ranchi,Jharkhand,2,11.5,14.09,14.09,No,02-07-2025,Yachana Patla,Jaipur,Rajasthan,COD,DTDC87503880,01-08-2025,BR838,Yachana Patla,07-07-2025,1310.03,26.82,1336.85,Express,Carrier,Cash,Non-Dox
Amritsar,Pune,15-06-2025,Nagarajan-Murty,Amritsar,Punjab,4,8.23,10.63,10.63,Yes,15-06-2025,Tailor LLC,Pune,Maharashtra,COD,DTDC87673153,15-07-2025,BR286,Tailor LLC,17-06-2025,443.56,133.89,577.45,Surface,Carrier,Cash,Non-Dox
Shimla,Thiruvananthapuram,13-06-2025,"Sastry, Wadhwa and Borde",Shimla,Himachal Pradesh,4,10.41,11.13,11.13,Yes,13-06-2025,Ekanta Bandi,Thiruvananthapuram,Kerala,None,DTDC29196765,13-07-2025,BR751,Ekanta Bandi,15-06-2025,472.6,0,472.6,Surface,Carrier,Card,Non-Dox
Raipur,Bhubaneswar,27-06-2025,Gala-Toor,Raipur,Chhattisgarh,5,5.35,8.12,8.12,Yes,27-06-2025,"Viswanathan, Ray and Patel",Bhubaneswar,Odisha,Insurance,DTDC14553269,27-07-2025,BR285,"Viswanathan, Ray and Patel",30-06-2025,365.64,48.56,414.2,Surface,Carrier,Cash,Non-Dox
Meerut,Aurangabad,14-06-2025,Sen-Dube,Meerut,Uttar Pradesh,3,9.38,11.23,11.23,Yes,14-06-2025,Anmol Kala,Aurangabad,Maharashtra,None,DTDC45999449,14-07-2025,BR947,Anmol Kala,16-06-2025,528.43,0,528.43,Surface,Carrier,Cash,Non-Dox
Coimbatore,Ahmedabad,20-06-2025,Dhriti Mukhopadhyay,Coimbatore,Tamil Nadu,2,9.4,10.73,10.73,No,20-06-2025,Jagdish Gara,Ahmedabad,Gujarat,Insurance,DTDC92897595,20-07-2025,BR816,Jagdish Gara,23-06-2025,951.62,134.56,1086.18,Express,Carrier,Cash,Dox
Delhi,Jamshedpur,11-06-2025,Mammen Inc,Delhi,Delhi,4,7.74,10.52,10.52,Yes,11-06-2025,"Mammen, Chaudhari and Gandhi",Jamshedpur,Jharkhand,COD,DTDC50747228,11-07-2025,BR133,"Mammen, Chaudhari and Gandhi",13-06-2025,468.5,87.73,556.23,Surface,Carrier,Cash,Dox
Raipur,Nagpur,10-06-2025,Peri-Sem,Raipur,Chhattisgarh,5,1.78,3.7,3.7,No,10-06-2025,Ekaja Puri,Nagpur,Maharashtra,COD,DTDC01265291,10-07-2025,BR845,Ekaja Puri,15-06-2025,160.75,63.84,224.59,Surface,Carrier,Cash,Non-Dox
Kochi,Jaipur,24-06-2025,Sethi Ltd,Kochi,Kerala,3,3.7,4.57,4.57,No,24-06-2025,Pahal Ganguly,Jaipur,Rajasthan,COD,DTDC53021390,24-07-2025,BR592,Pahal Ganguly,28-06-2025,368.12,85.56,453.68,Express,Carrier,Card,Non-Dox
Dehradun,Surat,02-07-2025,Mann PLC,Dehradun,Uttarakhand,5,10.01,12.59,12.59,No,02-07-2025,Vrinda Magar,Surat,Gujarat,Express,DTDC95789926,01-08-2025,BR033,Vrinda Magar,05-07-2025,519.69,88.82,608.51,Surface,Carrier,Cash,Dox
Hyderabad,Bhubaneswar,14-06-2025,"Deep, Tripathi and Kade",Hyderabad,Telangana,2,7.09,8.35,8.35,Yes,14-06-2025,"Khare, Srinivasan and Ravi",Bhubaneswar,Odisha,COD,DTDC40433805,14-07-2025,BR361,"Khare, Srinivasan and Ravi",18-06-2025,373.51,76.62,450.13,Surface,Carrier,Cash,Dox
Meerut,Vijayawada,28-06-2025,Chandran-Lata,Meerut,Uttar Pradesh,5,8.81,10,10,Yes,28-06-2025,"Srivastava, Chana and Goel",Vijayawada,Andhra Pradesh,COD,DTDC97659535,28-07-2025,BR902,"Srivastava, Chana and Goel",30-06-2025,892.67,140.24,1032.91,Express,Carrier,Card,Non-Dox
Bangalore,Thiruvananthapuram,04-07-2025,Naksh Chhabra,Bangalore,Karnataka,1,2.44,5.18,5.18,No,04-07-2025,Maanas Dora,Thiruvananthapuram,Kerala,None,DTDC44668197,03-08-2025,BR640,Maanas Dora,06-07-2025,424.28,0,424.28,Express,Carrier,Cash,Dox
Bhubaneswar,Dehradun,26-06-2025,"Gade, Sha and Sridhar",Bhubaneswar,Odisha,1,9.09,11.44,11.44,No,26-06-2025,Vasana Shetty,Dehradun,Uttarakhand,COD,DTDC67101182,26-07-2025,BR747,Vasana Shetty,28-06-2025,513.08,146.48,659.56,Surface,Carrier,Cash,Dox
Lucknow,Bhubaneswar,19-06-2025,Nath Ltd,Lucknow,Uttar Pradesh,4,0.88,1.64,1.64,No,19-06-2025,Mander-Iyengar,Bhubaneswar,Odisha,COD,DTDC18516905,19-07-2025,BR363,Mander-Iyengar,24-06-2025,104.76,33.25,138.01,Air Cargo,Carrier,Cash,Dox
Srinagar,Thiruvananthapuram,06-06-2025,"Subramanian, Bala and Shankar",Srinagar,Jammu & Kashmir,3,6.69,8.02,8.02,Yes,06-06-2025,Krishna Ghose,Thiruvananthapuram,Kerala,Insurance,DTDC81121811,06-07-2025,BR288,Krishna Ghose,08-06-2025,553.11,38.1,591.21,Air Cargo,Carrier,Cash,Dox
Bhopal,Chennai,01-07-2025,"Srinivas, Krishnamurthy and Setty",Bhopal,Madhya Pradesh,1,5.18,6.9,6.9,Yes,01-07-2025,Imaran Memon,Chennai,Tamil Nadu,COD,DTDC16309228,31-07-2025,BR718,Imaran Memon,06-07-2025,306.48,88.65,395.13,Surface,Carrier,Cash,Non-Dox
Ranchi,Ahmedabad,14-06-2025,Pall Group,Ranchi,Jharkhand,5,9.05,10.76,10.76,No,14-06-2025,Jai Garg,Ahmedabad,Gujarat,None,DTDC88628162,14-07-2025,BR097,Jai Garg,19-06-2025,442.37,0,442.37,Surface,Carrier,Card,Dox
Ahmedabad,Kochi,16-06-2025,Ganga Bala,Ahmedabad,Gujarat,3,2.03,4.68,4.68,No,16-06-2025,"Warrior, Nagy and Lad",Kochi,Kerala,COD,DTDC86984175,16-07-2025,BR320,"Warrior, Nagy and Lad",18-06-2025,210.3,70.45,280.75,Surface,Carrier,Cash,Non-Dox
Nagpur,Coimbatore,30-06-2025,Ishaan Majumdar,Nagpur,Maharashtra,3,9.31,9.94,9.94,No,30-06-2025,Damyanti Seth,Coimbatore,Tamil Nadu,COD,DTDC98075231,30-07-2025,BR731,Damyanti Seth,01-07-2025,864.84,101.71,966.55,Express,Carrier,Card,Non-Dox
Bhopal,Jaipur,02-07-2025,"Parmar, Saha and Swamy",Bhopal,Madhya Pradesh,4,1.55,2.42,2.42,Yes,02-07-2025,Balveer Lall,Jaipur,Rajasthan,Express,DTDC91052364,01-08-2025,BR266,Balveer Lall,05-07-2025,113.23,60.82,174.05,Surface,Carrier,Cash,Dox
Vizag,Ahmedabad,11-06-2025,Bhatnagar Inc,Vizag,Andhra Pradesh,4,2.91,4.6,4.6,Yes,11-06-2025,Bishakha Verma,Ahmedabad,Gujarat,COD,DTDC86232727,11-07-2025,BR848,Bishakha Verma,13-06-2025,198.46,34.96,233.42,Surface,Carrier,Card,Non-Dox
Bangalore,Nashik,29-06-2025,Nori-Bawa,Bangalore,Karnataka,5,10.57,12.71,12.71,Yes,29-06-2025,Netra Bhatnagar,Nashik,Maharashtra,COD,DTDC37984558,29-07-2025,BR493,Netra Bhatnagar,30-06-2025,571.04,53.77,624.81,Surface,Carrier,Card,Dox
Dehradun,Vizag,16-06-2025,Sinha Inc,Dehradun,Uttarakhand,2,2.75,5.57,5.57,Yes,16-06-2025,Kritika Nath,Vizag,Andhra Pradesh,COD,DTDC65054161,16-07-2025,BR101,Kritika Nath,21-06-2025,231.91,69.83,301.74,Surface,Carrier,Card,Non-Dox
Jamshedpur,Raipur,10-06-2025,"Konda, Kala and Mand",Jamshedpur,Jharkhand,4,3.3,6.12,6.12,Yes,10-06-2025,Gayathri Barad,Raipur,Chhattisgarh,COD,DTDC04022613,10-07-2025,BR933,Gayathri Barad,13-06-2025,542.71,141.08,683.79,Express,Carrier,Cash,Non-Dox
Pune,Vizag,12-06-2025,Leena Doctor,Pune,Maharashtra,1,7.5,10.46,10.46,Yes,12-06-2025,Rastogi-Manda,Vizag,Andhra Pradesh,Express,DTDC74940173,12-07-2025,BR444,Rastogi-Manda,15-06-2025,487.29,62.77,550.06,Surface,Carrier,Cash,Non-Dox
Thiruvananthapuram,Kochi,27-06-2025,Barkha Chakrabarti,Thiruvananthapuram,Kerala,5,3.44,5.18,5.18,No,27-06-2025,Parmar and Sons,Kochi,Kerala,Express,DTDC37047596,27-07-2025,BR793,Parmar and Sons,30-06-2025,216.17,64.34,280.51,Surface,Carrier,Cash,Dox
Mumbai,Agra,16-06-2025,"Mody, Hans and Dube",Mumbai,Maharashtra,4,4.91,5.42,5.42,Yes,16-06-2025,"Chakraborty, Pillai and Solanki",Agra,Uttar Pradesh,COD,DTDC63406970,16-07-2025,BR301,"Chakraborty, Pillai and Solanki",17-06-2025,261.25,79.03,340.28,Surface,Carrier,Cash,Dox
Jaipur,Srinagar,29-06-2025,"Oommen, Dash and Mohanty",Jaipur,Rajasthan,4,9.06,11.49,11.49,Yes,29-06-2025,"Bandi, Keer and Dugar",Srinagar,Jammu & Kashmir,COD,DTDC60816552,29-07-2025,BR889,"Bandi, Keer and Dugar",04-07-2025,561.89,147.72,709.61,Surface,Carrier,Cash,Non-Dox
Dehradun,Bhubaneswar,11-06-2025,Maanas Wagle,Dehradun,Uttarakhand,1,1.88,2.76,2.76,Yes,11-06-2025,Yachana Sem,Bhubaneswar,Odisha,COD,DTDC51592127,11-07-2025,BR840,Yachana Sem,13-06-2025,221.62,108.69,330.31,Express,Carrier,Cash,Non-Dox
Ludhiana,Pune,14-06-2025,Mandal-Handa,Ludhiana,Punjab,4,10.61,11.05,11.05,No,14-06-2025,Zacharia-Din,Pune,Maharashtra,COD,DTDC95639351,14-07-2025,BR125,Zacharia-Din,17-06-2025,985.3,20.29,1005.59,Express,Carrier,Card,Dox
Aurangabad,Agra,23-06-2025,Varenya Parmer,Aurangabad,Maharashtra,3,1.78,3.51,3.51,Yes,23-06-2025,Aayush Date,Agra,Uttar Pradesh,COD,DTDC08834653,23-07-2025,BR084,Aayush Date,28-06-2025,170.36,60.65,231.01,Surface,Carrier,Card,Dox
Bhopal,Patna,06-06-2025,"Chaudhari, Bhakta and Chanda",Bhopal,Madhya Pradesh,3,7.38,8.66,8.66,No,06-06-2025,Leena Mukherjee,Patna,Bihar,Express,DTDC63333286,06-07-2025,BR234,Leena Mukherjee,11-06-2025,515.88,36.2,552.08,Air Cargo,Carrier,Card,Non-Dox
Ranchi,Raipur,08-06-2025,"Soni, Mane and Sunder",Ranchi,Jharkhand,1,4.7,5.96,5.96,Yes,08-06-2025,Gupta-Kalita,Raipur,Chhattisgarh,Insurance,DTDC31327101,08-07-2025,BR293,Gupta-Kalita,09-06-2025,259.71,29.96,289.67,Surface,Carrier,Cash,Non-Dox
Jamshedpur,Kochi,20-06-2025,Idika Reddy,Jamshedpur,Jharkhand,3,0.46,2.19,2.19,No,20-06-2025,Aarini Khalsa,Kochi,Kerala,COD,DTDC99420397,20-07-2025,BR517,Aarini Khalsa,25-06-2025,92.25,125.81,218.06,Surface,Carrier,Card,Non-Dox
Thiruvananthapuram,Amritsar,11-06-2025,"Walia, Sarraf and Misra",Thiruvananthapuram,Kerala,3,6.23,8.9,8.9,Yes,11-06-2025,Sanya Dhawan,Amritsar,Punjab,COD,DTDC44704290,11-07-2025,BR079,Sanya Dhawan,16-06-2025,806.26,34.48,840.74,Express,Carrier,Cash,Dox
Srinagar,Bhopal,21-06-2025,Oliver Gera,Srinagar,Jammu & Kashmir,3,5.51,5.7,5.7,Yes,21-06-2025,Imaran Ramesh,Bhopal,Madhya Pradesh,COD,DTDC92938814,21-07-2025,BR516,Imaran Ramesh,25-06-2025,272.5,104.42,376.92,Surface,Carrier,Cash,Dox
Bhubaneswar,Ranchi,17-06-2025,Gautam Oommen,Bhubaneswar,Odisha,2,2.42,4.88,4.88,Yes,17-06-2025,Bala-Bajwa,Ranchi,Jharkhand,COD,DTDC53110167,17-07-2025,BR232,Bala-Bajwa,21-06-2025,307.81,66.93,374.74,Air Cargo,Carrier,Cash,Non-Dox
Amritsar,Indore,01-07-2025,Purohit-Sachar,Amritsar,Punjab,1,0.57,1.27,1.27,No,01-07-2025,"Bali, Kamdar and Chaudry",Indore,Madhya Pradesh,COD,DTDC93952713,31-07-2025,BR563,"Bali, Kamdar and Chaudry",02-07-2025,52.63,23.04,75.67,Surface,Carrier,Cash,Non-Dox
Delhi,Meerut,27-06-2025,Edwin Group,Delhi,Delhi,3,10.99,12.65,12.65,No,27-06-2025,Bhavya Sathe,Meerut,Uttar Pradesh,COD,DTDC15608477,27-07-2025,BR047,Bhavya Sathe,02-07-2025,549.9,69.66,619.56,Surface,Carrier,Cash,Non-Dox
Meerut,Bhubaneswar,10-06-2025,Hans Ltd,Meerut,Uttar Pradesh,2,10.42,10.83,10.83,Yes,10-06-2025,Aishani Deshpande,Bhubaneswar,Odisha,Insurance,DTDC38878469,10-07-2025,BR272,Aishani Deshpande,15-06-2025,718.3,95,813.3,Air Cargo,Carrier,Card,Non-Dox
Chandigarh,Patna,18-06-2025,Jagvi Thakkar,Chandigarh,Chandigarh,5,9.27,10.07,10.07,Yes,18-06-2025,Falan Pillai,Patna,Bihar,None,DTDC38230941,18-07-2025,BR347,Falan Pillai,22-06-2025,493.29,0,493.29,Surface,Carrier,Cash,Non-Dox
Indore,Shimla,25-06-2025,"Deep, Sridhar and Bedi",Indore,Madhya Pradesh,2,6.65,8.22,8.22,No,25-06-2025,Joshua Deshpande,Shimla,Himachal Pradesh,COD,DTDC00358165,25-07-2025,BR750,Joshua Deshpande,30-06-2025,334.22,106.44,440.66,Surface,Carrier,Card,Dox
Lucknow,Vijayawada,16-06-2025,Sen LLC,Lucknow,Uttar Pradesh,1,5.38,7.14,7.14,No,16-06-2025,Manthan Naik,Vijayawada,Andhra Pradesh,COD,DTDC15481978,16-07-2025,BR241,Manthan Naik,19-06-2025,465.54,113.28,578.82,Air Cargo,Carrier,Cash,Dox
Dehradun,Bangalore,11-06-2025,"Rajagopalan, Bedi and Master",Dehradun,Uttarakhand,5,2.21,3.34,3.34,No,11-06-2025,Azad Agarwal,Bangalore,Karnataka,COD,DTDC17474336,11-07-2025,BR191,Azad Agarwal,12-06-2025,138.36,109.53,247.89,Surface,Carrier,Cash,Dox
Indore,Ahmedabad,21-06-2025,Bhatt-D’Alia,Indore,Madhya Pradesh,3,7.69,9.15,9.15,No,21-06-2025,"Datta, Kumer and Rana",Ahmedabad,Gujarat,Insurance,DTDC78294113,21-07-2025,BR022,"Datta, Kumer and Rana",25-06-2025,786.66,48.74,835.4,Express,Carrier,Card,Dox
Chennai,Chandigarh,08-06-2025,"Bhagat, Warrior and Ravi",Chennai,Tamil Nadu,1,3.18,5.23,5.23,Yes,08-06-2025,Shetty-Dyal,Chandigarh,Chandigarh,COD,DTDC70900359,08-07-2025,BR734,Shetty-Dyal,13-06-2025,249.77,134.32,384.09,Surface,Carrier,Card,Dox
Agra,Bhopal,28-06-2025,Balakrishnan-Korpal,Agra,Uttar Pradesh,1,3.52,6.49,6.49,No,28-06-2025,Falak Kumer,Bhopal,Madhya Pradesh,COD,DTDC38940204,28-07-2025,BR316,Falak Kumer,02-07-2025,436.89,139.47,576.36,Air Cargo,Carrier,Card,Dox
Ahmedabad,Nashik,14-06-2025,Pillay-Walla,Ahmedabad,Gujarat,3,9.11,10.61,10.61,Yes,14-06-2025,Nikita Chauhan,Nashik,Maharashtra,COD,DTDC13711001,14-07-2025,BR857,Nikita Chauhan,15-06-2025,506.91,104.47,611.38,Surface,Carrier,Cash,Non-Dox
Vijayawada,Chandigarh,27-06-2025,Bera-Divan,Vijayawada,Andhra Pradesh,1,5.17,7.7,7.7,No,27-06-2025,Batra-Subramanian,Chandigarh,Chandigarh,COD,DTDC89966192,27-07-2025,BR251,Batra-Subramanian,02-07-2025,343.76,57.47,401.23,Surface,Carrier,Card,Dox
Kochi,Shimla,22-06-2025,Purohit LLC,Kochi,Kerala,5,4.15,6.16,6.16,No,22-06-2025,Loke Group,Shimla,Himachal Pradesh,COD,DTDC23720667,22-07-2025,BR439,Loke Group,25-06-2025,251.95,132.31,384.26,Surface,Carrier,Cash,Dox
Kolkata,Nashik,06-06-2025,Hamsini Rajagopal,Kolkata,West Bengal,4,4.16,6.96,6.96,Yes,06-06-2025,"Raju, Varughese and Gara",Nashik,Maharashtra,Express,DTDC57331545,06-07-2025,BR646,"Raju, Varughese and Gara",07-06-2025,454.54,34.99,489.53,Air Cargo,Carrier,Cash,Dox
Coimbatore,Raipur,29-06-2025,Bhardwaj Group,Coimbatore,Tamil Nadu,2,5.61,5.74,5.74,Yes,29-06-2025,Mishra Group,Raipur,Chhattisgarh,COD,DTDC40199665,29-07-2025,BR192,Mishra Group,03-07-2025,246.29,121.75,368.04,Surface,Carrier,Card,Non-Dox
Dehradun,Thiruvananthapuram,11-06-2025,Theodore Nadig,Dehradun,Uttarakhand,2,6.75,7.52,7.52,No,11-06-2025,Warda Nadig,Thiruvananthapuram,Kerala,COD,DTDC16470716,11-07-2025,BR133,Warda Nadig,15-06-2025,312.85,106.88,419.73,Surface,Carrier,Card,Dox
Shimla,Guwahati,28-06-2025,"Rege, Acharya and Bhatnagar",Shimla,Himachal Pradesh,1,11,11.63,11.63,Yes,28-06-2025,"Savant, Biswas and Nagi",Guwahati,Assam,None,DTDC61464306,28-07-2025,BR982,"Savant, Biswas and Nagi",01-07-2025,891.29,0,891.29,Express,Carrier,Cash,Non-Dox
Vizag,Dehradun,15-06-2025,Manbir Mittal,Vizag,Andhra Pradesh,2,11.18,12.17,12.17,Yes,15-06-2025,Wahab Chakrabarti,Dehradun,Uttarakhand,Insurance,DTDC10997950,15-07-2025,BR859,Wahab Chakrabarti,19-06-2025,1023.52,79.39,1102.91,Express,Carrier,Cash,Dox
Meerut,Hyderabad,19-06-2025,Wali-Subramanian,Meerut,Uttar Pradesh,1,1.41,4.23,4.23,Yes,19-06-2025,"Sarraf, Patel and Iyengar",Hyderabad,Telangana,Express,DTDC59098057,19-07-2025,BR234,"Sarraf, Patel and Iyengar",23-06-2025,257.67,79.05,336.72,Air Cargo,Carrier,Cash,Non-Dox
Jaipur,Bangalore,30-06-2025,"Krish, Bhandari and Barman",Jaipur,Rajasthan,1,2.64,3.58,3.58,No,30-06-2025,Anjali Sarin,Bangalore,Karnataka,COD,DTDC75644566,30-07-2025,BR467,Anjali Sarin,01-07-2025,327.99,118.41,446.4,Express,Carrier,Cash,Non-Dox
Srinagar,Aurangabad,05-07-2025,Hamsini Bassi,Srinagar,Jammu & Kashmir,3,5.66,7.41,7.41,Yes,05-07-2025,Natarajan-Tailor,Aurangabad,Maharashtra,Insurance,DTDC53880954,04-08-2025,BR198,Natarajan-Tailor,09-07-2025,328.58,107.45,436.03,Surface,Carrier,Card,Non-Dox
Kochi,Shimla,18-06-2025,Jagdish Dhar,Kochi,Kerala,4,5.86,7.71,7.71,No,18-06-2025,Apte Inc,Shimla,Himachal Pradesh,COD,DTDC16440476,18-07-2025,BR374,Apte Inc,23-06-2025,369.7,124.79,494.49,Surface,Carrier,Wallet,Dox
